content,qtd_friends,qtd_reviews,qtd_photos,rating,user_has_photo,fake_review
"Grande variedade de shots de tequillas e mezcais para começar a noite no bairro, o bar abre cedo para depois ir jantar para 11Tapas , sugestão do sr. Manel ....",0,6,0,4,True,True
"Realmente fui cliente várias vezes! E achava o restaurante bom para o tipo de comida! Contudo um dos dias que fui serviram me carne estragada, e depois de enviar o prato para trás, trouxeram me novamente outro bife do ""lombo"" batido e escortanhado, ou seja, estragado!",1,1,0,1,True,True
Excelente Marisqueira! Costumo ser cliente habitual e nunca me falharam.,1,3,0,4,True,True
Um bar temático de videojogos em que o amor pela cultura geek e o bom atendimento são os pontos mais fortes!,0,1,4,5,True,True
"Tasca moderna com petiscos portugueses com um twist. Bifes de Lisboa, atum BRASEADO 
Os vinhos são todos da região de Lisboa",4,2,3,5,True,True
"_ Este bife KOB é o bife mais pedido no nosso restaurante, mas não é vaca Kobe nem é maturada.
Que não é bife Kobe sei eu, se não teria um ""E"" no fim!
Mas como estava ali para comer carne maturada, optamos por um bife do Lombo e um Acém ambos Limousine. Para acompanhar, umas batatas fritas e uns espargos salteados. 

Lê o post na integra em: umnabogourmet.blogspot.p…",18,18,3,3,True,True
"Comer no Eating Bear é uma experiência maravilhosa! Comida saborosa, pratos bem servidos, vinhos variados - sempre com uma sugestão certeira para harmonização. Lugar sensacional, excelente atendimento e boa música.",0,1,0,5,False,True
"Eating Bear é uma adega que produz vinhos no Alentejo, no Douro e no Vinho Verde. O local é um bar de vinhos e tapas e ao pedir apenas um copo ou drink, o chef traz à mesa uma mini tapa para acompanhar e não deixar os clientes de barriga vazia ao beberem álcool. 

Música boa vai de choro e bossa nova ao trip-deep-lounge de Chet Faker, por exemplo. 

Sugestão de pratos: 
Entrada - Pimento recheado com sapateira e/ou Caramões Thai

Principal - Ceviche tradicional Peruano

Sobremesa - Torra Cítrica

*DICA: Todo fim de tarde é hora de Double Drink de Happy Hour! Pede dois paga um.",0,1,37,5,True,True
Caro e sujo!,0,1,0,1,False,True
"Muita simpatia, um espaço pequeno mas acolhedor com bons vinhos e tapas para petiscar. Um espaço escondido em Alfama, que merece ser visitado.",17,3,0,5,True,True
"Ohh gente da minha terra !!!!

Muito obrigada minha gente por terem proporcionado esta maravilha de noite!!! 
Muito boa gente, ótimos petiscos !

Vou de volta para casa com saudades no coração!! 

Voltarei em breve, muita força, coragem vocês merecem o melhor do melhor!!!

Um beijo e um abraço!!

Carlos Amado !",0,1,0,5,False,True
"Pareces que á pessoas que avaliam sem ter estado nos locais!!! A Tasquinha de Baco é só um dos locais mais típicos em estilo moderno que existe em Lisboa! O atendimento é óptimo e a forma como acarinham os clientes é de louvar.
Se passarem em Alfama não deixem de lá passar, comam um chourisso assado acompanhado de um belo Tinto!
Vão sentir-se em casa!",0,1,0,5,False,True
"Os preços continuam iguais mas com mais novas tapas e novos sabores , nova carta de cocktails também . Meu restaurante preferido de tapas de Lisboa .",0,6,0,5,True,True
"Todos os meus parabéns e minha coragem para você sobre o feito incrível deste site parece interessante e rico em informações.
consultation voyance (chloe-voyance.com)",0,20,0,5,False,True
"Um espaço de excelente qualidade e atendimento excepcional , com vinhos de grande qualidade.
Um espaço que recomendo, sem duvida.",1,2,1,5,True,True
"Adorável terraço e comida boa totalmente 
Tão bonito! Bom atmosfera ..Muito gostoso! Tão delicioso!",0,4,0,4,False,True
"Uma continuação do miradouro da graça, porém sem a agitação dos turistas! A vista é engraçada, mas não é a mais bonita, mesmo assim tira o fôlego. É possível ficar deitado numa espreguiçadeira, ler uma revista, ver a paisagem, o por do sol..enfim...o facto de estar recôndito não atrai mta gente, por isso é um lugar para a tranquilidade...como diz no café só fecha ao por do sol, come-se bem, e o que surpreende são os preços! Na verdade o segredo do monte agudo éo facto de ele ser um segredo, um tesourinho guardado da agitação, com a cidade aos nossos pés! Vá, mas não espalhe!",1,6,1,5,True,True
Uma boa experiência e qualidade da comida satisfatório. Espaço em si muito agradável e simpatia dos empregados.,10,1,1,4,True,True
"Excelente francesinha, bem a bater como as do norte, já sentia falta de comer uma assim aqui em Lisboa. Gostei das cervejas artesanais",0,1,0,5,True,True
"Já conheço este espaço há dois anos e como vi que o Yelp agora está em Poertugal, não podia deixar de deixar a minha opinião. O espaço é pequeno e necessita de reserva porque esta muitas vezes cheio, mas é sem duvida a melhor francesinha que comi fora do Porto.Grande, belo molho e a grande da salsicha das frescas..o que é uma raridade neste país de congelados.. Não penso que seja preciso dizer muito mais.",0,5,0,5,True,True
"Excelente cerveja (mais de 30 variedades de cerveja importada), excelentes petiscos, excelente preço! vale a pena visitar!",56,1,0,5,True,True
"Um bar extraordinário! Pequeno mas muito bem decorado, acolhedor, com peças antigas e velhos sofás. A ilumninação indirecta e em pequenos candeiros de mesa, convida à confidência e a longas conversas noite fora. A musica costuma ser optima, entre o jazz, blues e bossa nova. É um pouco caro mas tem a grande vantagem de se poder fumar. É frequentado por politicos e artistas. Os funcionários são muito simpaticos.",1,12,0,5,True,True
"Com a dona a entrar com uma rede cheia de legumes frescos por porta a dentro, começou assim a experiência Koppu.
Sem opção de comer ao balcão e com pouco mais de 30 lugares (e uma sala privada), faz deste restaurante com influências asiáticas um lugar acolhedor e adequado para um serviço rápido, dentro do possíveis.

Lê o post na integra em: umnabogourmet.blogspot.p…",18,18,3,4,True,True
"Gostei muito do Ramen, o caldo estava sabooso, a carne estava tenra.
Adorei o Ovo, estava excelente! Gostei muito da decoração, muito confortável e discreta.
Ao gosto japonês.",0,1,0,4,False,True
"Já tinha visitado há muito tempo na altura da abertura e posso dizer que evoluíram muito tanto na quantidade de ramen como na qualidade. Comemos uma asas fritas fantásticas, o meu ramen o tonkotsu picante estava espectacular e experimentei o do meu amigo o tonkotsu sem picante e também achei muito bom. Staff simpático. E estranhamente vale a pena arranjar espaço para as sobremesas pois são verdadeiras surpresas. A voltar.",0,2,1,5,False,True
"Adorei a experiência! Fui com um grupo de quatro  amigas e gostei muito. As entradas são excelentes, as gyozas muito sabororsas e frescas, os cogumelos são fantásticos. Comi o Ramen Tan Tan de galinha e adorei, uma fusão de sabores. Embora o espaço seja pequeno, o staff é muito atencioso e simpático. As sobremesas embora não sejam cem por cento japonesas são óptimas, partilhamos a mousse de chocolate branco com amendoim wasabi e o cheesecake de limão Yuzu, muito bom! 
Aconselho a reservar pois estava muito cheio.",0,1,0,5,False,True
"Fui com alguma expectativa, o ambiente é bom embora um pouco barulhento para o meu gosto, mas saí completamente desiludido. Comida banal, extremamente cara €€€ para a banalidade!!",0,2,0,3,True,True
"A não perder! Excelentes pizzas, hambúrgueres, excelente ambiente.
Com boa sala exterior tanto agradavel no Inverno como no Verão.
Em pleno centro de Lisboa, junto á Av. da Liberdade.",0,8,0,5,True,True
"Cheguei ao museu da cerveja e sequer pude sentar. A garçonete informou que não estavam servindo nas mesas fora pois havia chovido, com riscos de continuar a chover. Disse que poderíamos ficar no salão interno. Contudo ao entrar não pude permanecer, pousos garçons disseram não ter vagas para drinques e petiscos, apesar de inúmeras mesas vazias.",1,4,1,3,True,True
