data,log
20241028_001334,"{'eval_loss': 0.5866116881370544, 'eval_accuracy': 0.69557, 'eval_precision': 0.65527, 'eval_recall': 0.81818, 'eval_f1': 0.72772, 'eval_runtime': 17.9179, 'eval_samples_per_second': 60.498, 'eval_steps_per_second': 3.795, 'epoch': 15.0}"
20241028_001334,"{'eval_loss': 0.5983681678771973, 'eval_accuracy': 0.70387, 'eval_precision': 0.65607, 'eval_recall': 0.84544, 'eval_f1': 0.73881, 'eval_runtime': 17.8227, 'eval_samples_per_second': 60.821, 'eval_steps_per_second': 3.815, 'epoch': 15.0}"
20241028_001334,"{'eval_loss': 0.5924083590507507, 'eval_accuracy': 0.6762, 'eval_precision': 0.61974, 'eval_recall': 0.88368, 'eval_f1': 0.72854, 'eval_runtime': 17.9469, 'eval_samples_per_second': 60.401, 'eval_steps_per_second': 3.789, 'epoch': 15.0}"
20241028_001334,"{'eval_loss': 0.6748133301734924, 'eval_accuracy': 0.64852, 'eval_precision': 0.60618, 'eval_recall': 0.83673, 'eval_f1': 0.70304, 'eval_runtime': 18.022, 'eval_samples_per_second': 60.149, 'eval_steps_per_second': 3.773, 'epoch': 15.0}"
20241028_001334,"{'eval_loss': 0.6814692616462708, 'eval_accuracy': 0.72022, 'eval_precision': 0.69968, 'eval_recall': 0.79204, 'eval_f1': 0.743, 'eval_runtime': 17.9892, 'eval_samples_per_second': 60.203, 'eval_steps_per_second': 3.78, 'epoch': 15.0}"
20241028_211617,"{'eval_loss': 0.6270654201507568, 'eval_accuracy': 0.665, 'eval_precision': 0.60079, 'eval_recall': 0.82162, 'eval_f1': 0.69406, 'eval_runtime': 7.1357, 'eval_samples_per_second': 56.056, 'eval_steps_per_second': 3.503, 'epoch': 5.0}"
20241028_211617,"{'eval_loss': 0.603302538394928, 'eval_accuracy': 0.685, 'eval_precision': 0.71635, 'eval_recall': 0.68981, 'eval_f1': 0.70283, 'eval_runtime': 7.2298, 'eval_samples_per_second': 55.326, 'eval_steps_per_second': 3.458, 'epoch': 5.0}"
20241028_212639,"{'eval_loss': 0.5705848336219788, 'eval_accuracy': 0.75556, 'eval_precision': 0.77778, 'eval_recall': 0.75833, 'eval_f1': 0.76793, 'eval_runtime': 4.1453, 'eval_samples_per_second': 54.279, 'eval_steps_per_second': 3.619, 'epoch': 5.0}"
20241028_212639,"{'eval_loss': 0.6037814021110535, 'eval_accuracy': 0.68, 'eval_precision': 0.66892, 'eval_recall': 0.81148, 'eval_f1': 0.73333, 'eval_runtime': 4.0226, 'eval_samples_per_second': 55.934, 'eval_steps_per_second': 3.729, 'epoch': 5.0}"
20241028_213749,"{'eval_loss': 0.5891976356506348, 'eval_accuracy': 0.705, 'eval_precision': 0.68224, 'eval_recall': 0.7449, 'eval_f1': 0.7122, 'eval_runtime': 3.7178, 'eval_samples_per_second': 53.795, 'eval_steps_per_second': 3.497, 'epoch': 5.0}"
20241028_213749,"{'eval_loss': 0.5795419216156006, 'eval_accuracy': 0.705, 'eval_precision': 0.67347, 'eval_recall': 0.9, 'eval_f1': 0.77043, 'eval_runtime': 3.6798, 'eval_samples_per_second': 54.351, 'eval_steps_per_second': 3.533, 'epoch': 5.0}"
