date,mode,division_dataset,model,accuracy_mean,precision_mean,recall_mean,f1_score_mean,f1_score_std,f1_score_variance,f1_score_min,f1_score_max,learning_rate,max_lenght,weight_decay,features_used,observation
20241112_214843,train_TEST,64_16_20,bert-base-multilingual-uncased,0.98199,0.98118,0.98288,0.98202,0.00457,2e-05,0.97572,0.98602,1e-05,256,0.05,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241113_064452,train_TEST,64_16_20,bert-base-multilingual-uncased,0.98199,0.982,0.982,0.98199,0.00325,1e-05,0.97716,0.98676,1e-05,256,0.03,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"

20241111_220341,train_TEST,64_16_20,bert-base-multilingual-uncased,0.75092,0.71426,0.8369,0.77067,0.00589,3e-05,0.76391,0.78062,1e-05,256,0.001,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241112_054859,train_TEST,64_16_20,bert-base-multilingual-uncased,0.7107,0.67202,0.82362,0.74008,0.013,0.00017,0.71287,0.75319,2e-05,256,0.001,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241112_125006,train_TEST,64_16_20,bert-base-multilingual-uncased,0.71747,0.69047,0.78893,0.73638,0.01125,0.00013,0.71497,0.75245,3e-05,256,0.001,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"

20241114_003345,train_TEST,64_16_20,bert-base-multilingual-uncased,0.78069,0.75839,0.82411,0.78977,0.00495,2e-05,0.78042,0.79439,1e-05,256,0.05,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_015305,train_TEST,64_16_20,bert-base-multilingual-uncased,0.78487,0.76972,0.81304,0.79071,0.00567,3e-05,0.78343,0.79774,1e-05,256,0.03,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_031344,train_TEST,64_16_20,bert-base-multilingual-uncased,0.78007,0.74866,0.84354,0.79314,0.00512,3e-05,0.78805,0.80355,1e-05,256,0.01,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_043827,train_TEST,64_16_20,bert-base-multilingual-uncased,0.70837,0.72231,0.67701,0.69885,0.01834,0.00034,0.6739,0.72295,2e-05,256,0.05,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_055324,train_TEST,64_16_20,bert-base-multilingual-uncased,0.75843,0.73076,0.8187,0.77208,0.00766,6e-05,0.75736,0.78202,2e-05,256,0.03,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_070450,train_TEST,64_16_20,bert-base-multilingual-uncased,0.71021,0.71168,0.70702,0.70924,0.0155,0.00024,0.69056,0.72985,2e-05,256,0.01,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_081655,train_TEST,64_16_20,bert-base-multilingual-uncased,0.78475,0.80202,0.75646,0.77836,0.00951,9e-05,0.76198,0.79217,3e-05,256,0.05,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_092522,train_TEST,64_16_20,bert-base-multilingual-uncased,0.71697,0.71188,0.72916,0.72038,0.01451,0.00021,0.69956,0.74118,3e-05,256,0.03,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_102959,train_TEST,64_16_20,bert-base-multilingual-uncased,0.72571,0.67835,0.85904,0.75802,0.00692,5e-05,0.7487,0.76832,3e-05,256,0.01,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_114135,train_TEST,64_16_20,bert-base-multilingual-uncased,0.72571,0.7029,0.78254,0.7405,0.01091,0.00012,0.72502,0.75391,5e-05,256,0.05,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_125640,train_TEST,64_16_20,bert-base-multilingual-uncased,0.69004,0.64975,0.82509,0.72695,0.01057,0.00011,0.70642,0.73844,5e-05,256,0.03,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_141140,train_TEST,64_16_20,bert-base-multilingual-uncased,0.73826,0.71469,0.79361,0.75201,0.01053,0.00011,0.73692,0.76835,5e-05,256,0.01,"content","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_151943,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87282,0.83364,0.93161,0.87987,0.00845,7e-05,0.87083,0.89288,1e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_171238,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87577,0.83641,0.93432,0.88264,0.00764,6e-05,0.87265,0.89404,1e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_190547,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87737,0.84733,0.92079,0.88248,0.00718,5e-05,0.87147,0.89319,1e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_205853,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88142,0.84468,0.93481,0.88744,0.00712,5e-05,0.87866,0.89756,2e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241114_225208,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87909,0.84344,0.93112,0.88507,0.00898,8e-05,0.87314,0.89929,2e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_004553,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87601,0.84595,0.91956,0.88119,0.00642,4e-05,0.87049,0.89079,2e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_023937,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88056,0.84628,0.93014,0.88619,0.00682,5e-05,0.87819,0.89504,3e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_043311,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87859,0.84908,0.92104,0.88355,0.00657,4e-05,0.87667,0.89191,3e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_062634,train_TEST,64_16_20,bert-base-multilingual-uncased,0.88278,0.85798,0.91759,0.88673,0.00514,3e-05,0.87857,0.89481,3e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_082005,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8679,0.81803,0.94637,0.87752,0.00517,3e-05,0.86903,0.88475,5e-05,256,0.05,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_104629,train_TEST,64_16_20,bert-base-multilingual-uncased,0.84723,0.79328,0.93924,0.86009,0.00448,2e-05,0.85541,0.86863,5e-05,256,0.03,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_123817,train_TEST,64_16_20,bert-base-multilingual-uncased,0.8353,0.78927,0.91488,0.84741,0.00679,5e-05,0.83858,0.861,5e-05,256,0.01,"qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
20241115_145911,train_TEST,64_16_20,bert-base-multilingual-uncased,0.87158,0.84254,0.91414,0.87685,0.00476,2e-05,0.87115,0.88332,1e-05,256,0.05,"content, qtd_friends, qtd_reviews, qtd_photos. (sem legenda)","df full 6774 balanceado, 10 epochs, 3 folds, early_stopping 4, drop_out 0.5, batch_size 16"
