data,modo,divisao,classifier,vectorizer,features_used,accuracy_mean,precision_mean,recall_mean,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,observacao
20241026_181703,train_test,80_20,KNN,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.86448,0.81591,0.94154,0.87419,2e-05,0.86653,0.87895,"df full 6774 balanceado"
20241026_182839,train_test,80_20,KNN,BERT,"qtd_friends, qtd_reviews, qtd_photos",0.86286,0.81312,0.94243,0.87298,1e-05,0.86945,0.87818,"df full 6774 balanceado"
20241026_185109,train_test,80_20,KNN,Word2Vec,---,0.63079,0.66859,0.51874,0.58412,0.00061,0.55038,0.61423,"df full 6774 balanceado"
20241026_190736,train_test,80_20,KNN,BERT,---,0.67257,0.67384,0.66962,0.67151,7e-05,0.66157,0.68517,"df full 6774 balanceado"
20241028_001334,train_VAL_test,64_16_20,BERT,BERT,---,0.68888,0.64739,0.83521,0.72822,0.00019,0.70304,0.743,"df full 6774 balanceado, 15 epochs, 5 folds"
20241028_001334,train_val_TEST,64_16_20,BERT,BERT,---,0.84871,0.8224,0.88922,0.85451,---,---,---,"df full 6774 balanceado, 15 epochs, 5 folds"
20241028_210202,train_VAL_test,72_18_10,BERT,BERT,---,0.68223,0.63442,0.87948,0.7371,0.0,0.73585,0.73835,"df sample 1000 balanceado, 5 epochs, 2 folds"
20241028_210202,train_val_TEST,72_18_10,BERT,BERT,---,0.7,0.64286,0.9,0.75,---,---,---,"df sample 1000 balanceado, 5 epochs, 2 folds"
20241028_211617,train_VAL_test,64_16_20,BERT,BERT,---,0.675,0.65857,0.75572,0.69844,2e-05,0.69406,0.70283,"df sample 1000 balanceado, 5 epochs, 2 folds"
20241028_211617,train_val_TEST,64_16_20,BERT,BERT,---,0.745,0.75789,0.72,0.73846,---,---,---,"df sample 1000 balanceado, 5 epochs, 2 folds"
20241028_212639,train_VAL_test,81_9_10,BERT,BERT,---,0.71778,0.72335,0.7849,0.75063,0.0003,0.73333,0.76793,"df sample 1000 balanceado, 5 epochs, 2 folds"
20241028_212639,train_val_TEST,81_9_10,BERT,BERT,---,0.69,0.64179,0.86,0.73504,---,---,---,"df sample 1000 balanceado, 5 epochs, 2 folds"
20241028_213749,train_VAL_test,72_8_20,BERT,BERT,---,0.705,0.67786,0.82245,0.74132,0.00085,0.7122,0.77043,"df sample 1000 balanceado, 5 epochs, 2 folds"
20241028_213749,train_val_TEST,72_8_20,BERT,BERT,---,0.745,0.67376,0.95,0.78838,---,---,---,"df sample 1000 balanceado, 5 epochs, 2 folds"
